"","PAYEMS"
"350",67215
"351",67295
"352",67555
"353",67653
"354",67904
"355",68125
"356",68328
"357",68487
"358",68720
"359",68985
"360",69246
"361",69438
"362",69700
"363",69905
"364",70072
"365",70328
"366",70636
"367",70729
"368",71006
"369",70917
"370",71120
"371",71087
"372",71240
"373",71176
"374",71304
"375",71452
"376",71348
"377",71123
"378",71029
"379",71053
"380",70933
"381",70948
"382",70519
"383",70409
"384",70790
"385",70866
"386",70806
"387",70859
"388",71037
"389",71247
"390",71253
"391",71315
"392",71370
"393",71617
"394",71642
"395",71846
"396",72108
"397",72445
"398",72652
"399",72945
"400",73163
"401",73467
"402",73760
"403",73708
"404",74138
"405",74263
"406",74673
"407",74967
"408",75270
"409",75621
"410",76017
"411",76285
"412",76455
"413",76646
"414",76887
"415",76911
"416",77166
"417",77276
"418",77606
"419",77912
"420",78035
"421",78104
"422",78254
"423",78296
"424",78382
"425",78547
"426",78602
"427",78635
"428",78619
"429",78611
"430",78629
"431",78261
"432",77657
"433",77297
"434",76919
"435",76649
"436",76461
"437",76623
"438",76520
"439",76769
"440",77155
"441",77230
"442",77535
"443",77680
"444",78018
"445",78506
"446",78817
"447",79049
"448",79292
"449",79311
"450",79376
"451",79547
"452",79704
"453",79892
"454",79905
"455",80237
"456",80448
"457",80692
"458",80988
"459",81391
"460",81729
"461",82089
"462",82488
"463",82836
"464",83074
"465",83532
"466",83794
"467",84173
"468",84408
"469",84595
"470",84948
"471",85461
"472",86163
"473",86509
"474",86951
"475",87205
"476",87481
"477",87618
"478",87954
"479",88391
"480",88673
"481",88810
"482",89054
"483",89480
"484",89418
"485",89791
"486",90109
"487",90215
"488",90297
"489",90325
"490",90482
"491",90576
"492",90673
"493",90802
"494",90882
"495",90994
"496",90850
"497",90419
"498",90099
"499",89837
"500",90097
"501",90210
"502",90491
"503",90748
"504",90943
"505",91037
"506",91105
"507",91210
"508",91283
"509",91293
"510",91490
"511",91602
"512",91566
"513",91479
"514",91380
"515",91171
"516",90893
"517",90567
"518",90562
"519",90432
"520",90152
"521",90107
"522",89864
"523",89522
"524",89364
"525",89183
"526",88906
"527",88783
"528",88769
"529",88993
"530",88918
"531",89090
"532",89366
"533",89643
"534",90022
"535",90440
"536",90132
"537",91247
"538",91518
"539",91871
"540",92227
"541",92673
"542",93154
"543",93429
"544",93792
"545",94100
"546",94479
"547",94792
"548",95034
"549",95344
"550",95630
"551",95979
"552",96107
"553",96373
"554",96497
"555",96843
"556",97039
"557",97313
"558",97459
"559",97649
"560",97842
"561",98045
"562",98233
"563",98442
"564",98609
"565",98734
"566",98841
"567",98935
"568",99122
"569",99249
"570",99155
"571",99473
"572",99587
"573",99934
"574",100120
"575",100306
"576",100511
"577",100683
"578",100915
"579",101164
"580",101502
"581",101728
"582",101900
"583",102247
"584",102418
"585",102646
"586",103138
"587",103370
"588",103664
"589",103758
"590",104211
"591",104487
"592",104732
"593",104961
"594",105324
"595",105546
"596",105670
"597",106009
"598",106277
"599",106616
"600",106906
"601",107168
"602",107426
"603",107619
"604",107792
"605",107910
"606",108026
"607",108066
"608",108115
"609",108365
"610",108476
"611",108753
"612",108849
"613",109183
"614",109432
"615",109647
"616",109688
"617",109838
"618",109863
"619",109833
"620",109613
"621",109525
"622",109366
"623",109216
"624",109160
"625",109039
"626",108735
"627",108577
"628",108367
"629",108240
"630",108338
"631",108302
"632",108308
"633",108340
"634",108356
"635",108299
"636",108324
"637",108378
"638",108313
"639",108368
"640",108527
"641",108654
"642",108721
"643",108790
"644",108930
"645",108966
"646",109145
"647",109284
"648",109494
"649",109805
"650",110047
"651",109998
"652",110306
"653",110573
"654",110754
"655",111053
"656",111212
"657",111451
"658",111737
"659",111999
"660",112311
"661",112583
"662",112783
"663",113248
"664",113597
"665",113931
"666",114247
"667",114624
"668",114902
"669",115253
"670",115468
"671",115887
"672",116162
"673",116487
"674",116691
"675",116913
"676",117075
"677",117059
"678",117294
"679",117395
"680",117644
"681",117885
"682",118041
"683",118189
"684",118321
"685",118303
"686",118735
"687",119001
"688",119165
"689",119485
"690",119774
"691",120029
"692",120202
"693",120427
"694",120677
"695",120976
"696",121146
"697",121382
"698",121684
"699",122000
"700",122293
"701",122551
"702",122818
"703",123131
"704",123092
"705",123604
"706",123945
"707",124251
"708",124554
"709",124830
"710",125026
"711",125177
"712",125456
"713",125862
"714",126080
"715",126204
"716",126551
"717",126775
"718",126971
"719",127254
"720",127601
"721",127726
"722",128137
"723",128244
"724",128619
"725",128831
"726",129092
"727",129411
"728",129578
"729",129791
"730",130192
"731",130483
"732",130778
"733",131008
"734",131138
"735",131606
"736",131893
"737",132119
"738",132074
"739",132251
"740",132237
"741",132371
"742",132357
"743",132582
"744",132724
"745",132694
"746",132766
"747",132741
"748",132460
"749",132422
"750",132293
"751",132178
"752",132020
"753",131778
"754",131454
"755",131160
"756",130989
"757",130847
"758",130714
"759",130695
"760",130615
"761",130607
"762",130664
"763",130579
"764",130564
"765",130504
"766",130629
"767",130639
"768",130481
"769",130575
"770",130422
"771",130212
"772",130167
"773",130156
"774",130166
"775",130189
"776",130148
"777",130250
"778",130446
"779",130462
"780",130586
"781",130747
"782",130791
"783",131123
"784",131372
"785",131679
"786",131753
"787",131785
"788",131917
"789",132079
"790",132425
"791",132490
"792",132619
"793",132753
"794",132992
"795",133126
"796",133489
"797",133664
"798",133909
"799",134282
"800",134478
"801",134545
"802",134629
"803",134966
"804",135125
"805",135402
"806",135717
"807",135997
"808",136179
"809",136202
"810",136279
"811",136486
"812",136670
"813",136827
"814",136829
"815",137039
"816",137210
"817",137448
"818",137536
"819",137724
"820",137802
"821",137946
"822",138017
"823",137984
"824",137968
"825",138053
"826",138135
"827",138253
"828",138350
"829",138365
"830",138279
"831",138199
"832",137985
"833",137803
"834",137631
"835",137421
"836",137162
"837",136710
"838",136236
"839",135471
"840",134774
"841",133976
"842",133275
"843",132449
"844",131765
"845",131411
"846",130944
"847",130617
"848",130401
"849",130174
"850",129976
"851",129970
"852",129687
"853",129705
"854",129655
"855",129811
"856",130062
"857",130578
"858",130456
"859",130395
"860",130353
"861",130296
"862",130537
"863",130674
"864",130745
"865",130815
"866",130983
"867",131195
"868",131517
"869",131619
"870",131836
"871",131942
"872",132064
"873",132285
"874",132468
"875",132632
"876",132828
"877",133188
"878",133414
"879",133657
"880",133753
"881",133863
"882",133951
"883",134111
"884",134261
"885",134422
"886",134647
"887",134850
"888",135064
"889",135261
"890",135541
"891",135682
"892",135885
"893",136084
"894",136285
"895",136434
"896",136636
"897",136800
"898",137037
"899",137311
"900",137395
"901",137539
"902",137736
"903",137928
